Code,Category,Description,Location,Date,StartTime,EndTime,Duration,Username
1000,1,VDS,Ballroom A,2019-10-20,8:45,10:35,1:50,
1001,1,VAHC,Ballroom B,2019-10-20,8:45,10:35,1:50,
1002,1,VIS4DH,Ballroom C,2019-10-20,8:45,10:35,1:50,
1003,1,2nd Workshop on Urban Data Visualization (CityVis) — Focus: The Role of the Citizen,Room 1,2019-10-20,8:45,10:35,1:50,
1004,1,"Topological Data Analysis Made Easy with the Topology ToolKit, A Sequel",Room 2,2019-10-20,8:45,10:35,1:50,
1005,1,SetVA: Set Visual Analytics,Room 3,2019-10-20,8:45,10:35,1:50,
1006,1,Better Presentations for Visualization Research,Room 7,2019-10-20,8:45,10:35,1:50,
1007,1,Workshop on Visualization for Communication (VisComm),Room 15,2019-10-20,8:45,10:35,1:50,
1008,1,VDS,Ballroom A,2019-10-20,10:35,12:25,1:50,
1009,1,VAHC,Ballroom B,2019-10-20,10:35,12:25,1:50,
1010,1,VIS4DH,Ballroom C,2019-10-20,10:35,12:25,1:50,
1011,1,2nd Workshop on Urban Data Visualization (CityVis) — Focus: The Role of the Citizen,Room 1,2019-10-20,10:35,12:25,1:50,
1012,1,"Topological Data Analysis Made Easy with the Topology ToolKit, A Sequel",Room 2,2019-10-20,10:35,12:25,1:50,
1013,1,SetVA: Set Visual Analytics,Room 3,2019-10-20,10:35,12:25,1:50,
1014,1,Better Presentations for Visualization Research,Room 7,2019-10-20,10:35,12:25,1:50,
1015,1,Workshop on Visualization for Communication (VisComm),Room 15,2019-10-20,10:35,12:25,1:50,
1016,1,VDS,Ballroom A,2019-10-20,14:05,15:55,1:50,
1017,1,VAHC,Ballroom B,2019-10-20,14:05,15:55,1:50,
1018,1,VIS4DH,Ballroom C,2019-10-20,14:05,15:55,1:50,
1019,1,Vis X Vision: Workshop on Novel Directions in Vision Science and Visualization Research,Room 1,2019-10-20,14:05,15:55,1:50,
1020,1,VTK-m - A ToolKit for Scientific Visualization on Many-Core Processors,Room 2,2019-10-20,14:05,15:55,1:50,
1021,1,MLUI 2019: Machine Learning from User Interactions for Visualization and Analytics,Room 3,2019-10-20,14:05,15:55,1:50,
1022,1,Visualizing Multivariate Networks,Room 7,2019-10-20,14:05,15:55,1:50,
1023,1,Visualization in meteorology and climate sciences: recent research and open challenges,Room 15,2019-10-20,14:05,15:55,1:50,
1024,1,VDS,Ballroom A,2019-10-20,15:55,17:45,1:50,
1025,1,VAHC,Ballroom B,2019-10-20,15:55,17:45,1:50,
1026,1,VIS4DH,Ballroom C,2019-10-20,15:55,17:45,1:50,
1027,1,Vis X Vision: Workshop on Novel Directions in Vision Science and Visualization Research,Room 1,2019-10-20,15:55,17:45,1:50,
1028,1,VTK-m - A ToolKit for Scientific Visualization on Many-Core Processors,Room 2,2019-10-20,15:55,17:45,1:50,
1029,1,MLUI 2019: Machine Learning from User Interactions for Visualization and Analytics,Room 3,2019-10-20,15:55,17:45,1:50,
1030,1,Visualizing Multivariate Networks,Room 7,2019-10-20,15:55,17:45,1:50,
1031,1,Visualization in meteorology and climate sciences: recent research and open challenges,Room 15,2019-10-20,15:55,17:45,1:50,
1032,1,LDAV,Ballroom A,2019-10-21,8:45,10:35,1:50,
1033,1,VisInPractice,Ballroom B,2019-10-21,8:45,10:35,1:50,
1034,1,VAST Challenge,Ballroom C,2019-10-21,8:45,10:35,1:50,
1035,1,DSIA 2019: Data Systems for Interactive Analysis,Room 1,2019-10-21,8:45,10:35,1:50,
1036,1,Visual Analysis and Design,Room 2,2019-10-21,8:45,10:35,1:50,
1037,1,Evaluation of Interactive Visual Machine Learning Systems (EVIVA-ML),Room 3,2019-10-21,8:45,10:35,1:50,
1038,1,"Statistical Data Representation, Visualization, and Uncertainty Analysis",Room 7,2019-10-21,8:45,10:35,1:50,
1039,1,Beyond Paper Types: How to Evaluate and Communicate VIS Research Contributions,Room 15,2019-10-21,8:45,10:35,1:50,
1040,1,LDAV,Ballroom A,2019-10-21,10:35,12:25,1:50,
1041,1,VisInPractice,Ballroom B,2019-10-21,10:35,12:25,1:50,
1042,1,VAST Challenge,Ballroom C,2019-10-21,10:35,12:25,1:50,
1043,1,DSIA 2019: Data Systems for Interactive Analysis,Room 1,2019-10-21,10:35,12:25,1:50,
1044,1,Visual Analysis and Design,Room 2,2019-10-21,10:35,12:25,1:50,
1045,1,Evaluation of Interactive Visual Machine Learning Systems (EVIVA-ML),Room 3,2019-10-21,10:35,12:25,1:50,
1046,1,"Statistical Data Representation, Visualization, and Uncertainty Analysis",Room 7,2019-10-21,10:35,12:25,1:50,
1047,1,Beyond Paper Types: How to Evaluate and Communicate VIS Research Contributions,Room 15,2019-10-21,10:35,12:25,1:50,
1048,1,LDAV,Ballroom A,2019-10-21,14:05,15:55,1:50,
1049,1,VisInPractice,Ballroom B,2019-10-21,14:05,15:55,1:50,
1050,1,VAST Challenge,Ballroom C,2019-10-21,14:05,15:55,1:50,
1051,1,Challenges in Multilayer Network Visualization and Analysis,Room 1,2019-10-21,14:05,15:55,1:50,
1052,1,Visualization for Social Good,Room 2,2019-10-21,14:05,15:55,1:50,
1053,1,2nd Workshop on Visualization for AI Explainability (VISxAI),Room 3,2019-10-21,14:05,15:55,1:50,
1054,1,User-Centred Evaluation in Visualization,Room 7,2019-10-21,14:05,15:55,1:50,
1055,1,Visualization Software Development for Researchers and End Users - from general issues to specific challenges for medical applications,Room 15,2019-10-21,14:05,15:55,1:50,
1056,1,LDAV,Ballroom A,2019-10-21,15:55,17:45,1:50,
1057,1,VisInPractice,Ballroom B,2019-10-21,15:55,17:45,1:50,
1058,1,VAST Challenge,Ballroom C,2019-10-21,15:55,17:45,1:50,
1059,1,Challenges in Multilayer Network Visualization and Analysis,Room 1,2019-10-21,15:55,17:45,1:50,
1060,1,Visualization for Social Good,Room 2,2019-10-21,15:55,17:45,1:50,
1061,1,2nd Workshop on Visualization for AI Explainability (VISxAI),Room 3,2019-10-21,15:55,17:45,1:50,
1062,1,User-Centred Evaluation in Visualization,Room 7,2019-10-21,15:55,17:45,1:50,
1063,1,Visualization paradigms in the renewable energy space,Room 15,2019-10-21,15:55,17:45,1:50,
1064,1,Fast Forward,TBD,2019-10-21,18:00,19:30,1:30,
1065,1,Fast Forward,TBD,2019-10-21,18:00,19:30,1:30,
1066,1,Fast Forward,TBD,2019-10-21,18:00,19:30,1:30,
1067,1,Fast Forward,TBD,2019-10-21,18:00,19:30,1:30,
1068,1,"Opening (Welcome, Awards, Best Papers)",TBD,2019-10-22,8:15,11:05,2:50,
1069,1,"Opening (Welcome, Awards, Best Papers)",TBD,2019-10-22,8:15,11:05,2:50,
1070,1,"Opening (Welcome, Awards, Best Papers)",TBD,2019-10-22,8:15,11:05,2:50,
1071,1,"Opening (Welcome, Awards, Best Papers)",TBD,2019-10-22,8:15,11:05,2:50,
1072,1,Keynote,TBD,2019-10-22,11:05,12:25,1:20,
1073,1,Keynote,TBD,2019-10-22,11:05,12:25,1:20,
1074,1,Keynote,TBD,2019-10-22,11:05,12:25,1:20,
1075,1,Keynote,TBD,2019-10-22,11:05,12:25,1:20,
